sep=;
STOCK;LAST PRICE;52 WRK LOW;52 WRK HIGH;SENTIMENT;BUYQT;SELLQT;SECTOR;MARKET CAP (RS CR);P/E;BOOK VALUE (RS);DIV (%);MARKET LOT;INDUSTRY P/E;EPS (TTM);P/C;PRICE/BOOK;DIV YIELD.(%);FACE VALUE (RS);DELIVERABLES (%)
Carborundum Universal Ltd.;398.85;245.50;428.00;BUY;3441;3092;ABRASIVES;7,533.62;61.65;55.86;175.00%;1;58.20;6.47;39.85;7.14;0.44%;1.00;68.91
Grindwell Norton Ltd.;551.65;317.00;567.45;BUY;376;706;ABRASIVES;6,107.87;49.48;79.89;80.00%;1;58.20;11.15;37.40;6.91;0.73%;5.00;67.68
Orient Abrasives Ltd.;55.25;27.90;67.00;-;2630;1176;ABRASIVES;661.01;112.76;15.23;25.00%;1;58.20;0.49;47.63;3.63;0.45%;1.00;68.09
Wendt (India) Ltd.;3418.10;1765.00;4260.00;BUY;58;11;ABRASIVES;683.62;69.54;512.17;250.00%;1;58.20;49.15;35.12;6.67;0.73%;10.00;66.93
Bhoruka Aluminium Ltd.;0.59;0.44;0.71;-;-;7300;ALUMINIUM;3.24;-;8.62;0.00%;1;37.81;-;-;0.07;-%;10.00;
Century Extrusions Ltd.;7.06;3.90;7.70;-;10.38;44.16;ALUMINIUM;56.48;30.70;4.94;0.00%;1;37.81;0.23;10.86;1.43;-%;1.00;49.32
Gujarat Foils Ltd.;15.50;9.65;27.90;-;750;5594;ALUMINIUM;12.71;-;39.76;0.00%;1;26.85;-;-;0.39;-%;10.00;100
Hindalco Industries Ltd.;262.70;169.40;283.95;-;3577;9596;ALUMINIUM;58,974.67;39.15;210.85;110.00%;1;33.18;6.71;20.10;1.25;0.42%;1.00;46.76
Hind Aluminium Industries Ltd.;156.10;83.05;170.00;BUY;1586;909;ALUMINIUM;98.35;13.56;120.79;16.00%;1;26.85;11.51;9.58;1.29;1.02%;10.00;84.72
Maan Aluminium Ltd.;166.50;68.00;184.00;SELL;82;135;ALUMINIUM;112.56;19.99;43.97;10.00%;1;33.18;8.33;15.58;3.79;0.60%;10.00;61.88
Manaksia Aluminium Company Ltd.;18.19;5.01;19.25;BUY;4951;92;ALUMINIUM;120.12;303.17;14.80;0.00%;1;33.18;0.06;21.40;1.23;-%;1.00;76.90
National Aluminium Company Ltd.;80.25;61.30;97.65;-;65.42;24.3;ALUMINIUM;15,511.75;20.01;52.80;56.00%;1;33.18;4.01;12.35;1.52;3.49%;5.00;51.98
PG Foils Ltd.;222.25;79.85;239.00;BUY;3330;2213;ALUMINIUM;180.24;10.99;151.41;11.00%;1;26.85;20.22;9.52;1.47;0.49%;10.00;65.41
Sacheta Metals Ltd.;61.15;32.00;71.20;BUY;-;1445;ALUMINIUM;115.82;107.28;14.61;2.50%;1;37.81;0.57;40.50;4.19;0.41%;10.00;100
Sudal Industries Ltd.;14.21;7.53;17.35;-;200;275;ALUMINIUM;10.47;-;2.29;0.00%;1;37.81;-;-;6.21;-%;10.00;100
Avanti Feeds Ltd.;2473.65;529.20;3000.00;-;1694;780;AQUACULTURE;11,234.13;30.77;126.03;450.00%;1;57.49;80.38;29.83;19.63;0.36%;2.00;62.11
BKV Industries Ltd.;1.55;1.48;2.38;-;700;-;AQUACULTURE;2.39;-;0.13;0.00%;1;117.04;-;-;11.92;-%;1.00;
Coastal Trawlers Ltd.;88.30;36.05;88.30;-;45.46;-;AQUACULTURE;22.45;1.41;223.04;15.00%;1;2.14;62.59;1.20;0.40;1.70%;10.00;100
Kings Infra Ventures Ltd.;17.41;8.22;20.05;-;-;165;AQUACULTURE;40.93;102.41;10.51;0.00%;1;45.02;0.17;96.72;1.66;-%;10.00;100
Shantanu Sheorey Aqua Ltd.;7.95;7.95;256.50;-;-;3.12 L;AQUACULTURE;27.73;16.91;5.28;0.00%;1;51.19;0.47;16.91;1.51;-%;10.00;100
Waterbase Ltd.;334.90;82.80;417.50;-;5615;4874;AQUACULTURE;1,292.82;54.02;32.26;10.00%;1;117.04;6.20;43.95;10.38;0.30%;10.00;73.73
Zeal Aqua  Ltd.;571.00;276.00;600.00;-;2250;2500;AQUACULTURE;239.95;-;87.45;0.00%;250;117.04;* -;-;6.53;-%;10.00;100
Atul Auto Ltd.;455.35;389.85;511.90;-;2475;2825;AUTO - 2 & 3 WHEELERS;999.18;23.09;82.24;85.00%;1;25.82;19.72;20.58;5.54;0.93%;5.00;35.99
Bajaj Auto Ltd.;3184.90;2683.55;3381.00;-;1568;610;AUTO - 2 & 3 WHEELERS;92,160.50;24.50;588.67;550.00%;1;25.82;130.02;22.65;5.41;1.73%;10.00;49.31
Endurance Technologies Ltd.;1312.40;568.80;1397.00;BUY;214;103;AUTO - 2 & 3 WHEELERS;18,460.59;76.70;111.12;25.00%;1;53.38;17.11;45.30;11.81;0.19%;10.00;86.53
Hero Motocorp Ltd.;3566.05;3021.95;4200.00;-;2240;333;AUTO - 2 & 3 WHEELERS;71,216.52;20.88;506.31;4250.00%;1;25.82;170.79;18.24;7.04;2.38%;2.00;52.45
Kinetic Engineering Ltd.;89.55;60.45;112.40;-;3034;430;AUTO - 2 & 3 WHEELERS;149.82;-;10.09;0.00%;1;25.82;-;-;8.88;-%;10.00;100
LML Ltd.;9.60;7.52;14.20;-;10;23.29;AUTO - 2 & 3 WHEELERS;78.70;-;-106.41;0.00%;1;25.82;-;-;-;-%;10.00;100
Maharashtra Scooters Ltd.;2771.05;1581.10;3441.65;-;946;697;AUTO - 2 & 3 WHEELERS;3,166.91;51.65;283.98;300.00%;1;25.82;53.65;51.19;9.76;1.08%;10.00;65.60
Majestic Auto Ltd.;196.30;92.10;213.00;BUY;751;1348;AUTO - 2 & 3 WHEELERS;204.10;-;153.52;0.00%;1;25.82;-;26.53;1.28;-%;10.00;70.72
Scooters India Ltd.;73.65;36.55;79.70;SELL;14.02;3752;AUTO - 2 & 3 WHEELERS;628.84;-;10.36;0.00%;1;25.82;-;-;7.11;-%;10.00;100
TVS Motor Company Ltd.;730.90;376.30;794.90;-;1459;546;AUTO - 2 & 3 WHEELERS;34,724.12;57.69;50.69;250.00%;1;25.82;12.67;39.02;14.42;0.34%;1.00;38.89
Amara Raja Batteries Ltd.;850.00;665.45;954.55;-;1036;1786;AUTO ANCILLARIES;14,519.06;33.10;151.81;425.00%;1;29.68;25.68;23.05;5.60;0.50%;1.00;46.19
Amtek Auto Ltd.;27.95;21.25;43.80;-;12.18;4115;AUTO ANCILLARIES;693.87;-;123.92;0.00%;1;71.53;-;-;0.23;-%;2.00;100
ANG Industries Ltd.;6.67;5.10;13.49;BUY;149;1750;AUTO ANCILLARIES;10.73;-;-18.40;0.00%;1;63.05;-;-;-;-%;10.00;100
Autoline Industries Ltd.;102.95;48.60;127.00;SELL;378;412;AUTO ANCILLARIES;216.20;-;30.22;0.00%;1;33.60;-;-;3.41;-%;10.00;100
Autolite (India) Ltd.;72.85;48.45;110.60;BUY;1497;955;AUTO ANCILLARIES;81.46;-;35.01;0.00%;1;42.09;-;-;2.08;-%;10.00;74.67
Automobile Corporation of Goa Ltd.;1498.30;600.00;1543.95;BUY;211;481;AUTO ANCILLARIES;962.15;41.64;306.16;175.00%;1;53.38;35.98;33.50;4.89;1.17%;10.00;88.07
Automotive Axles Ltd.;1673.05;618.00;1769.95;BUY;135;339;AUTO ANCILLARIES;2,528.31;41.35;248.66;80.00%;1;42.50;40.46;25.13;6.73;0.48%;10.00;56.47
Automotive Stampings and Assemblies Ltd.;102.35;53.90;119.50;BUY;2791;1950;AUTO ANCILLARIES;162.37;-;11.07;0.00%;1;53.38;-;-;9.25;-%;10.00;39.42
Banco Products (India) Ltd.;248.75;189.05;276.25;BUY;7996;2778;AUTO ANCILLARIES;1,779.03;17.87;73.53;250.00%;1;33.60;13.92;15.21;3.38;2.01%;2.00;67.45
Bharat Gears Ltd.;200.40;101.10;231.90;-;1370;1248;AUTO ANCILLARIES;163.18;52.46;80.60;0.00%;1;49.26;3.82;8.25;2.49;-%;10.00;60.55
Bharat Seats Ltd.;246.30;59.00;273.90;-;1430;9178;AUTO ANCILLARIES;773.38;35.85;19.79;45.00%;1;53.38;6.87;19.99;12.45;0.37%;2.00;79.21
Bosch Ltd.;19879.45;18602.00;25245.20;BUY;88;85;AUTO ANCILLARIES;60,673.55;46.15;2883.16;1650.00%;1;33.60;430.73;34.26;6.90;0.83%;10.00;44.00
Castex Technologies Ltd.;6.53;4.76;9.98;-;8732;7426;AUTO ANCILLARIES;246.91;-;46.81;0.00%;1;53.38;-;-;0.14;-%;2.00;100
Duncan Engineering Ltd.;105.00;70.10;140.80;BUY;14;100;AUTO ANCILLARIES;38.81;-;44.16;0.00%;1;53.38;-;-;2.38;-%;10.00;100
Enkei Wheels (India) Ltd.;420.20;158.00;467.90;-;2348;876;AUTO ANCILLARIES;647.60;149.01;20.57;0.00%;1;36.92;2.82;24.82;20.43;-%;5.00;69.69
Exide Industries Ltd.;227.10;178.80;249.70;BUY;4135;10.49;AUTO ANCILLARIES;19,303.50;30.12;58.40;240.00%;1;29.68;7.54;22.78;3.89;1.06%;1.00;40.80
Federal-Mogul Goetze Ltd.;575.05;465.10;650.80;-;1340;1153;AUTO ANCILLARIES;3,199.13;39.99;101.09;0.00%;1;33.60;14.38;20.46;5.69;-%;10.00;57.80
FIEM Industries Ltd.;970.50;821.40;1229.30;BUY;274;669;AUTO ANCILLARIES;1,277.16;39.87;321.69;80.00%;1;42.09;24.34;17.92;3.02;0.82%;10.00;74.80
Gabriel India Ltd.;192.00;106.85;222.70;BUY;9096;4952;AUTO ANCILLARIES;2,757.96;31.37;31.36;130.00%;1;28.41;6.12;22.38;6.12;0.68%;1.00;78.57
Gajra Bevel Gears Ltd.;2.55;1.90;3.45;-;-;100;AUTO ANCILLARIES;2.40;-;-38.53;0.00%;1;49.26;-;-;-;-%;10.00;
GNA Axles Ltd.;451.35;188.00;472.50;-;1848;2088;AUTO ANCILLARIES;968.84;26.91;138.32;0.00%;1;33.60;16.77;16.17;3.26;-%;10.00;58.71
Gujarat Automotive Gears Ltd.;342.10;189.10;382.00;-;670;2062;AUTO ANCILLARIES;59.87;11.29;185.05;0.00%;1;49.26;30.31;10.67;1.85;-%;2.00;85.39
Harita Seating Systems Ltd.;1037.15;651.20;1107.80;-;263;326;AUTO ANCILLARIES;805.77;30.26;116.07;50.00%;1;53.38;34.27;25.39;8.94;0.48%;10.00;77.95
Hindustan Composites Ltd.;517.85;450.00;802.59;BUY;380;748;AUTO ANCILLARIES;764.81;28.79;414.79;5.00%;1;37.69;17.99;22.31;1.25;0.05%;5.00;65.03
Hindustan Hardy Spicer Ltd.;93.50;76.00;138.90;BUY;-;20;AUTO ANCILLARIES;14.01;-;49.04;0.00%;1;42.50;-;-;1.91;-%;10.00;
India Nippon Electricals Ltd.;1170.10;505.00;1424.80;BUY;191;1244;AUTO ANCILLARIES;1,323.47;33.05;254.61;100.00%;1;95.81;35.40;29.93;4.60;0.85%;10.00;70.46
IP Rings Ltd.;219.70;120.50;278.80;BUY;762;256;AUTO ANCILLARIES;402.26;155.82;50.34;0.00%;1;33.60;1.41;37.94;4.36;-%;10.00;100
Jamna Auto Industries Ltd.;80.35;51.70;293.50;-;37.53;16.54;AUTO ANCILLARIES;3,201.66;31.14;8.41;70.00%;1;31.30;2.58;21.48;9.55;0.87%;1.00;57.21
Jay Bharat Maruti Ltd.;553.40;326.60;748.75;-;1987;1430;AUTO ANCILLARIES;1,198.11;19.91;140.63;50.00%;1;53.38;27.79;11.79;3.94;0.45%;5.00;50.59
JBM Auto Ltd.;523.25;230.00;628.50;-;137;1237;AUTO ANCILLARIES;2,134.62;64.05;58.36;40.00%;1;53.38;8.17;37.70;8.97;0.38%;5.00;30.85
JMT Auto Ltd.;5.43;3.45;22.45;-;9784;23.1;AUTO ANCILLARIES;273.58;135.75;3.37;0.00%;1;49.26;0.04;8.76;1.61;-%;1.00;100
Lumax Auto Technologies Ltd.;785.40;420.00;872.00;-;55;690;AUTO ANCILLARIES;1,070.62;71.79;104.13;47.00%;1;53.38;10.94;38.24;7.54;0.60%;10.00;75.61
Lumax Industries Ltd.;2072.05;904.15;2241.00;BUY;1351;544;AUTO ANCILLARIES;1,936.90;37.83;258.52;145.00%;1;42.09;54.77;21.14;8.02;0.70%;10.00;74.53
Machino Plastics Ltd.;269.95;200.00;341.75;-;165;197;AUTO ANCILLARIES;165.66;-;94.45;20.00%;1;41.31;-;14.78;2.86;0.74%;10.00;91.58
Menon Pistons Ltd.;32.80;18.85;39.20;BUY;114;5249;AUTO ANCILLARIES;167.28;26.03;13.30;50.00%;1;33.60;1.26;15.55;2.47;1.52%;1.00;100
Minda Corporation Ltd.;213.90;88.25;229.00;-;6986;2437;AUTO ANCILLARIES;4,477.18;70.36;18.89;25.00%;1;53.38;3.04;53.74;11.32;0.23%;2.00;39.85
Minda Industries Ltd.;1243.65;323.00;1349.45;-;1082;1216;AUTO ANCILLARIES;10,747.49;101.86;60.60;110.00%;1;95.81;12.21;70.03;20.52;0.18%;2.00;56.35
Motherson Sumi Systems Ltd.;383.95;302.40;492.85;-;7309;7611;AUTO ANCILLARIES;80,833.35;85.32;11.90;200.00%;1;95.81;4.50;70.58;32.26;0.52%;1.00;59.71
Munjal Auto Industries Ltd.;86.35;59.20;153.00;BUY;10.81;1387;AUTO ANCILLARIES;863.50;24.19;25.04;100.00%;1;53.38;3.57;16.26;3.45;2.32%;2.00;51.59
